,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
11068,Erick Cabaco,Uruguay,Centre-Back,Levante UD,Spain,Getafe CF,Spain,8000000.0,2019
11069,Rubén García,Spain,Left Winger,Levante UD,Spain,CA Osasuna,Spain,3500000.0,2019
11070,Oier Olazábal,Spain,Goalkeeper,Levante UD,Spain,RCD Espanyol Barcelona,Spain,1500000.0,2019
11071,Sanjin Prcic,Bosnia-Herzegovina,Central Midfield,Levante UD,Spain,RC Strasbourg Alsace,France,1000000.0,2019
11072,Chema Rodríguez,Spain,Centre-Back,Levante UD,Spain,Nottingham Forest,England,500000.0,2019
11073,Esteban Saveljich,Montenegro,Centre-Back,Levante UD,Spain,Rayo Vallecano,Spain,400000.0,2019
11074,Pedro López,Spain,Right-Back,Levante UD,Spain,SD Huesca,Spain,0.0,2019
11075,Jason,Spain,Right Winger,Levante UD,Spain,Valencia CF,Spain,0.0,2019
11076,Pablo Hervías,Spain,Right Winger,SD Eibar,Spain,Real Valladolid CF,Spain,1000000.0,2019
11077,Sekou Gassama,Senegal,Centre-Forward,UD Almería,Spain,Real Valladolid CF,Spain,400000.0,2019
11078,Marcos André,Brazil,Centre-Forward,Real Valladolid Promesas,Spain,Real Valladolid CF,Spain,0.0,2019
11079,Moctar El Hacen,Mauritania,Defensive Midfield,Real Valladolid Promesas,Spain,Real Valladolid CF,Spain,0.0,2019
11080,Hatem Ben Arfa,France,Attacking Midfield,Without Club,N/A,Real Valladolid CF,Spain,0.0,2019
11081,Mohammed Salisu,Ghana,Centre-Back,Real Valladolid Promesas,Spain,Real Valladolid CF,Spain,0.0,2019
11082,Fernando Calero,Spain,Centre-Back,Real Valladolid CF,Spain,RCD Espanyol Barcelona,Spain,8000000.0,2019
11083,David Mayoral,Spain,Right Winger,Real Valladolid CF,Spain,UCAM Murcia CF,Spain,0.0,2019
11084,Antonio Domínguez,Spain,Attacking Midfield,Real Valladolid CF,Spain,Algeciras CF,Spain,0.0,2019
11086,Denis Suárez,Spain,Attacking Midfield,FC Barcelona,Spain,Celta de Vigo,Spain,12900000.0,2019
11087,Joseph Aidoo,Ghana,Centre-Back,KRC Genk,Belgium,Celta de Vigo,Spain,8000000.0,2019
11088,Nolito,Spain,Left Winger,Sevilla FC,Spain,Celta de Vigo,Spain,0.0,2019
11089,Santi Mina,Spain,Centre-Forward,Valencia CF,Spain,Celta de Vigo,Spain,0.0,2019
11090,Iván Villar,Spain,Goalkeeper,Celta Vigo B,Spain,Celta de Vigo,Spain,0.0,2019
11091,Stanislav Lobotka,Slovakia,Defensive Midfield,Celta de Vigo,Spain,SSC Napoli,Italy,21000000.0,2019
11092,Maxi Gómez,Uruguay,Centre-Forward,Celta de Vigo,Spain,Valencia CF,Spain,14500000.0,2019
11093,Mathias Jensen,Denmark,Central Midfield,Celta de Vigo,Spain,Brentford FC,England,3800000.0,2019
11094,Andrew Hjulsager,Denmark,Attacking Midfield,Celta de Vigo,Spain,KV Oostende,Belgium,500000.0,2019
11095,Facundo Roncaglia,Argentina,Centre-Back,Celta de Vigo,Spain,CA Osasuna,Spain,250000.0,2019
11096,Claudio Beauvue,Guadeloupe,Centre-Forward,Celta de Vigo,Spain,Deportivo de La Coruña,Spain,0.0,2019
11097,Dennis Eckert Ayensa,Germany,Centre-Forward,Celta de Vigo,Spain,FC Ingolstadt 04,Germany,0.0,2019
11098,Gustavo Cabral,Argentina,Centre-Back,Celta de Vigo,Spain,CF Pachuca,Mexico,0.0,2019
11099,Nemanja Radoja,Serbia,Defensive Midfield,Celta de Vigo,Spain,Levante UD,Spain,0.0,2019
11100,Rubén García,Spain,Left Winger,Levante UD,Spain,CA Osasuna,Spain,3500000.0,2019
11101,Chimy Ávila,Argentina,Centre-Forward,CA San Lorenzo de Almagro,Argentina,CA Osasuna,Spain,2700000.0,2019
11102,Marc Cardona,Spain,Centre-Forward,FC Barcelona,Spain,CA Osasuna,Spain,2500000.0,2019
11103,Rober Ibáñez,Spain,Right Winger,Getafe CF,Spain,CA Osasuna,Spain,2000000.0,2019
11104,Brandon Thomas,Spain,Centre-Forward,Stade Rennais FC,France,CA Osasuna,Spain,2000000.0,2019
11105,Darko Brasanac,Serbia,Central Midfield,Real Betis Balompié,Spain,CA Osasuna,Spain,1000000.0,2019
11106,Facundo Roncaglia,Argentina,Centre-Back,Celta de Vigo,Spain,CA Osasuna,Spain,250000.0,2019
11107,Jaume Grau,Spain,Central Midfield,Real Madrid Castilla,Spain,CA Osasuna,Spain,0.0,2019
11108,Adrián López,Spain,Centre-Forward,FC Porto,Portugal,CA Osasuna,Spain,0.0,2019
