,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
0,Juan Lozano,Spain,Midfield,RSC Anderlecht,Belgium,Real Madrid,Spain,1880000.0,1983
1,Julio Suárez,Spain,Right Winger,UD Las Palmas,Spain,Real Madrid,Spain,330000.0,1983
2,Manolo Sanchís,Spain,Centre-Back,Castilla CF,Spain,Real Madrid,Spain,0.0,1983
3,Rafa Martín Vázquez,Spain,Attacking Midfield,Castilla CF,Spain,Real Madrid,Spain,0.0,1983
4,Emilio Butragueño,Spain,Centre-Forward,Castilla CF,Spain,Real Madrid,Spain,0.0,1983
5,Miguel Ángel Portugal,Spain,Left Midfield,Real Madrid,Spain,AD Rayo Vallecano,Spain,?,1983
6,Francisco García Hernández,Spain,Central Midfield,Real Madrid,Spain,CD Castellón,Spain,?,1983
7,Juan Acosta,Uruguay,Central Midfield,Real Madrid,Spain,CA Newell's Old Boys,Argentina,?,1983
8,Elías Benito,Spain,Midfield,AD Rayo Vallecano,Spain,Cádiz CF,Spain,?,1983
9,Manuel Padilla,Spain,Central Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
10,Higinio Vilches,Spain,Left Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
11,Manolo Valle,Spain,Attack,FC Barcelona Atlético,Spain,Cádiz CF,Spain,?,1983
12,Francis Cabral,Spain,Attack,Xerez CD,Spain,Cádiz CF,Spain,?,1983
13,Jesús Linares,Spain,Defence,Cádiz CF,Spain,Recreativo Huelva,Spain,?,1983
14,Hugo Vaca,Argentina,Defence,Cádiz CF,Spain,Algeciras CF,Spain,?,1983
15,Alfonso Federico Castro,Spain,Attack,Cádiz CF,Spain,Lorca Deportiva CF,Spain,?,1983
18,Juan Carlos Ablanedo,Spain,Goalkeeper,Sporting Atlético,Spain,Sporting Gijón,Spain,0.0,1983
19,Eloy Olaya,Spain,Centre-Forward,Sporting Atlético,Spain,Sporting Gijón,Spain,0.0,1983
20,Francisco Uría,Spain,Left-Back,Sporting Gijón,Spain,Real Oviedo CF,Spain,?,1983
21,Dusan Savic,Serbia,Centre-Forward,Sporting Gijón,Spain,LOSC Lille,France,?,1983
24,Javier Canosa,Spain,Left-Back,Celta de Vigo,Spain,UD Salamanca,Spain,?,1983
25,Balín,Spain,Attack,Castilla CF,Spain,UD Salamanca,Spain,?,1983
26,Balta Sánchez,Spain,Defence,Unknown,N/A,UD Salamanca,Spain,?,1983
27,Serafín de la Torre,Spain,Defence,Unknown,N/A,UD Salamanca,Spain,?,1983
28,Zlatomir Micanovic,Serbia,Attack,FK Vojvodina Novi Sad,Serbia,UD Salamanca,Spain,?,1983
29,José Luis Cabrero,Spain,Midfield,CD Salmantino,Spain,UD Salamanca,Spain,0.0,1983
30,José Ángel del Cerro,Spain,Goalkeeper,CD Salmantino,Spain,UD Salamanca,Spain,0.0,1983
31,José Alberto Garmendia,Spain,Goalkeeper,UD Salamanca,Spain,Albacete Balompié,Spain,?,1983
32,Enrique Herrero,Spain,Centre-Back,UD Salamanca,Spain,Real Murcia CF,Spain,?,1983
33,Paco Martínez,Spain,Central Midfield,UD Salamanca,Spain,RCD Mallorca,Spain,?,1983
34,Carlos Brizzola,Argentina,Right Winger,UD Salamanca,Spain,RC Deportivo Coruña,Spain,?,1983
35,José Ramón Corchado,Spain,Centre-Forward,UD Salamanca,Spain,Real Zaragoza,Spain,?,1983
36,Clemente Rolón,Paraguay,Centre-Forward,UD Salamanca,Spain,River Plate Asunción,Paraguay,?,1983
38,Manolo Zambrano,Spain,Midfield,Recreativo Huelva,Spain,CD Málaga,Spain,?,1983
40,Francisco Astorga,Spain,Midfield,CD Málaga,Spain,Club Atlético de Ceuta,Spain,?,1983
41,Roberto Gasparini,Argentina,Attack,CD Málaga,Spain,Club Atlético Racing,Argentina,0.0,1983
42,Juan José Urruti,Argentina,Attack,Club Atlético Racing,Argentina,Valencia CF,Spain,126000.0,1983
43,José Vicente Aliaga,Spain,Right-Back,CD Castellón,Spain,Valencia CF,Spain,?,1983
44,José Carlos Granero,Spain,Defence,Unknown,N/A,Valencia CF,Spain,?,1983
45,José Raúl Iglesias,Argentina,Attack,CA San Lorenzo de Almagro,Argentina,Valencia CF,Spain,?,1983
46,Fernando,Spain,Midfield,Valencia CF U19,Spain,Valencia CF,Spain,0.0,1983
47,Jesús García-Pitarch,Spain,Attack,CD Mestalla,Spain,Valencia CF,Spain,0.0,1983
48,Kurt Welzl,Austria,Centre-Forward,Valencia CF,Spain,KAA Gent,Belgium,?,1983
49,Frank Arnesen,Denmark,Attacking Midfield,Valencia CF,Spain,RSC Anderlecht,Belgium,?,1983
50,Santi Idígoras,Spain,Centre-Forward,Valencia CF,Spain,Deportivo Alavés,Spain,?,1983
51,Darío Felman,Argentina,Right Winger,Valencia CF,Spain,Gimnasia y Esgrima de Mendoza,Argentina,?,1983
52,Daniel Solsona,Spain,Attacking Midfield,Valencia CF,Spain,Sporting Étoile Club Bastia ,France,?,1983
55,Froilán Maldonado,Spain,Left-Back,CD Cristo Olímpico,Spain,RCD Español,Spain,?,1983
56,Javier Novarini,Argentina,Defence,Unknown,N/A,RCD Español,Spain,?,1983
57,José Manuel Lacalle,Spain,Midfield,San Sebastián CF,Spain,RCD Español,Spain,?,1983
58,Miquel Soler,Spain,Left-Back,FC Cristinenc,Spain,RCD Español,Spain,0.0,1983
59,Robi,Spain,Centre-Back,FC Cristinenc,Spain,RCD Español,Spain,0.0,1983
60,Theo Custers,Belgium,Goalkeeper,RCD Español,Spain,KV Mechelen,Belgium,?,1983
61,Rafael Marañón,Spain,Centre-Forward,RCD Español,Spain,CE Sabadell FC,Spain,?,1983
62,Javier Escalza,Spain,Left-Back,RCD Español,Spain,CE Sabadell FC,Spain,?,1983
63,Manuel Padilla,Spain,Central Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
64,Higinio Vilches,Spain,Left Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
65,Andoni Murúa,Spain,Left Winger,RCD Español,Spain,Racing Santander,Spain,?,1983
67,Javier Sagarzazu,Spain,Right-Back,San Sebastián CF,Spain,Real Sociedad,Spain,0.0,1983
68,Bixente Biurrun,Spain,Goalkeeper,Real Sociedad,Spain,CA Osasuna,Spain,225000.0,1983
69,Fernando Tirapu,Spain,Right Midfield,Athletic Bilbao,Spain,CA Osasuna,Spain,?,1983
70,Teo Rastrojo,Spain,Left-Back,Athletic Bilbao,Spain,Hércules CF,Spain,?,1983
72,Juan Álvarez,Spain,Centre-Forward,FSV Frankfurt,Germany,Sevilla FC,Spain,?,1983
73,Vicente Villalba,Spain,Goalkeeper,Unknown,N/A,Sevilla FC,Spain,?,1983
74,Antonio Benítez,Spain,Midfield,Sevilla FC B,Spain,Sevilla FC,Spain,0.0,1983
75,Ramón,Spain,Centre-Forward,Sevilla FC B,Spain,Sevilla FC,Spain,0.0,1983
76,César,Brazil,Midfield,Sevilla FC,Spain,Portuguesa,Brazil,?,1983
78,Jesús López,Spain,Midfield,CD Cristo Olímpico,Spain,Real Valladolid Deportivo,Spain,?,1983
79,Enrique Sala,Spain,Goalkeeper,Hércules CF,Spain,Real Valladolid Deportivo,Spain,?,1983
80,Manuel Peña,Spain,Attack,Unknown,N/A,Real Valladolid Deportivo,Spain,?,1983
81,Eusebio,Spain,Defensive Midfield,Real Valladolid B,Spain,Real Valladolid Deportivo,Spain,0.0,1983
82,Goyo Fonseca,Spain,Attack,Real Valladolid U19,Spain,Real Valladolid Deportivo,Spain,0.0,1983
83,Gilberto Yearwood,Honduras,Centre-Back,Real Valladolid Deportivo,Spain,CD Tenerife,Spain,?,1983
84,José Luis Montes,Spain,Goalkeeper,Real Valladolid Deportivo,Spain,RC Deportivo Coruña,Spain,?,1983
85,Antonio Pastor,Spain,Right-Back,Real Valladolid Deportivo,Spain,Granada CF,Spain,?,1983
86,Rusky,Spain,Centre-Forward,Real Valladolid Deportivo,Spain,CE Sabadell FC,Spain,?,1983
87,Joaquín Muñoz,Spain,Centre-Forward,Real Valladolid Deportivo,Spain,Algeciras CF,Spain,?,1983
88,Juan Manuel,Spain,Midfield,Real Valladolid Deportivo,Spain,CD Tenerife,Spain,?,1983
89,Bixente Biurrun,Spain,Goalkeeper,Real Sociedad,Spain,CA Osasuna,Spain,225000.0,1983
90,Fernando Tirapu,Spain,Right Midfield,Athletic Bilbao,Spain,CA Osasuna,Spain,?,1983
91,Pere Gratacós,Spain,Centre-Back,FC Barcelona Atlético,Spain,CA Osasuna,Spain,?,1983
92,Cándido,Spain,Midfield,FC Barcelona Atlético,Spain,CA Osasuna,Spain,?,1983
93,José Luis Barandica,Spain,Goalkeeper,CA Osasuna,Spain,Real Betis Balompié,Spain,?,1983
95,Gerry Armstrong,Northern Ireland,Centre-Forward,Watford FC,England,RCD Mallorca,Spain,250000.0,1983
96,Sabino Zubeldía,Spain,Goalkeeper,CD Cristo Olímpico,Spain,RCD Mallorca,Spain,?,1983
97,Juan José Estella,Spain,Right Midfield,FC Barcelona,Spain,RCD Mallorca,Spain,?,1983
98,Juan Carlos Verón,Argentina,Attacking Midfield,Racing Santander,Spain,RCD Mallorca,Spain,?,1983
99,Paco Martínez,Spain,Central Midfield,UD Salamanca,Spain,RCD Mallorca,Spain,?,1983
100,Juani,Spain,Left Winger,UD Las Palmas,Spain,RCD Mallorca,Spain,?,1983
101,Jesús García Jiménez,Spain,Defence,AD Rayo Vallecano,Spain,RCD Mallorca,Spain,?,1983
102,José Alberto Izquierdo,Spain,Left-Back,AD Rayo Vallecano,Spain,RCD Mallorca,Spain,?,1983
103,José Crespí,Spain,Midfield,Mallorca Atlético,Spain,RCD Mallorca,Spain,0.0,1983
105,Manolo,Spain,Centre-Forward,CP Cacereño,Spain,Real Murcia CF,Spain,6000.0,1983
106,Mario Husillos,Argentina,Attack,Cartagonova FC,Spain,Real Murcia CF,Spain,0.0,1983
107,Andrés Ramírez,Spain,Right Winger,Real Zaragoza,Spain,Real Murcia CF,Spain,?,1983
108,Enrique Herrero,Spain,Centre-Back,UD Salamanca,Spain,Real Murcia CF,Spain,?,1983
109,Santi,Spain,Midfield,Hércules CF,Spain,Real Murcia CF,Spain,?,1983
110,Pere Valentí Mora,Spain,Goalkeeper,AD Rayo Vallecano,Spain,Real Murcia CF,Spain,?,1983
111,José Albaladejo,Spain,Left-Back,FC Barcelona Atlético,Spain,Real Murcia CF,Spain,?,1983
112,Joaquim Ferrer,Spain,Goalkeeper,FC Barcelona Atlético,Spain,Real Murcia CF,Spain,?,1983
113,Isidre Tarrés,Spain,Midfield,FC Barcelona Atlético,Spain,Real Murcia CF,Spain,?,1983
114,Juan Pedro Ruiz,Spain,Central Midfield,Real Murcia CF,Spain,Elche CF,Spain,?,1983
115,Gabriel Calderón,Argentina,Attacking Midfield,CA Independiente,Argentina,Real Betis Balompié,Spain,180000.0,1983
116,Paco Machín,Spain,Centre-Forward,Racing Santander,Spain,Real Betis Balompié,Spain,?,1983
117,Manolo Peña,Spain,Attack,San Fernando CD,Spain,Real Betis Balompié,Spain,?,1983
118,José Luis Barandica,Spain,Goalkeeper,CA Osasuna,Spain,Real Betis Balompié,Spain,?,1983
119,José Calleja,Spain,Defence,Unknown,N/A,Real Betis Balompié,Spain,?,1983
120,Lobo Diarte,Paraguay,Centre-Forward,Real Betis Balompié,Spain,AS Saint-Étienne,France,?,1983
121,Nene Suárez,Spain,Central Midfield,Real Betis Balompié,Spain,Celta de Vigo,Spain,?,1983
122,Ramón Rodríguez,Spain,Right Midfield,Real Betis Balompié,Spain,Granada CF,Spain,?,1983
123,Adolfo Romero,Spain,Attack,Real Betis Balompié,Spain,Xerez CD,Spain,?,1983
127,José Ramón Corchado,Spain,Centre-Forward,UD Salamanca,Spain,Real Zaragoza,Spain,?,1983
128,Manolo Ruiz,Spain,Goalkeeper,Deportivo Aragón,Spain,Real Zaragoza,Spain,0.0,1983
129,Pedro Camus,Spain,Centre-Back,Real Zaragoza,Spain,CD Tenerife,Spain,?,1983
130,José Ignacio Oñaederra,Spain,Midfield,Real Zaragoza,Spain,Lorca Deportiva CF,Spain,?,1983
131,Andrés Ramírez,Spain,Right Winger,Real Zaragoza,Spain,Real Murcia CF,Spain,?,1983
132,Cecilio Zunzunegui,Spain,Left-Back,Real Zaragoza,Spain,CE Sabadell FC,Spain,?,1983
135,Jorge Gabrich,Argentina,Attack,CA Newell's Old Boys,Argentina,FC Barcelona,Spain,?,1983
136,Juan Carlos Rojo,Spain,Left Winger,FC Barcelona Atlético,Spain,FC Barcelona,Spain,0.0,1983
137,Paco Clos,Spain,Centre-Forward,FC Barcelona Atlético,Spain,FC Barcelona,Spain,0.0,1983
138,Allan Simonsen,Denmark,Right Winger,FC Barcelona,Spain,Charlton Athletic,England,330000.0,1983
139,Juan José Estella,Spain,Right Midfield,FC Barcelona,Spain,RCD Mallorca,Spain,?,1983
141,Francisco Javier Alonso,Spain,Goalkeeper,Athletic Bilbao B,Spain,Athletic Bilbao,Spain,0.0,1984
142,Luis Fernando Fernández,Spain,Midfield,Athletic Bilbao B,Spain,Athletic Bilbao,Spain,0.0,1984
143,José Luis Sarabia,Spain,Attack,Athletic Bilbao B,Spain,Athletic Bilbao,Spain,0.0,1984
144,Javier González Etxebarria,Spain,Left-Back,Athletic Bilbao B,Spain,Athletic Bilbao,Spain,0.0,1984
145,Andoni Cedrún,Spain,Goalkeeper,Athletic Bilbao,Spain,Real Zaragoza,Spain,135000.0,1984
146,Mario Kempes,Argentina,Centre-Forward,Valencia CF,Spain,Hércules CF,Spain,?,1984
147,Jon Aspiazu,Spain,Midfield,Athletic Bilbao B,Spain,Hércules CF,Spain,?,1984
148,Juan Antonio Carcelén,Spain,Central Midfield,Real Madrid,Spain,Hércules CF,Spain,?,1984
149,Abel,Spain,Centre-Forward,Sporting Gijón,Spain,Hércules CF,Spain,?,1984
150,José Velásquez,Peru,Defensive Midfield,Club Alianza Lima,Peru,Hércules CF,Spain,?,1984
151,Puncho,Spain,Defence,Hércules CF B,Spain,Hércules CF,Spain,0.0,1984
152,Félix Torres,Paraguay,Centre-Forward,Hércules CF,Spain,Lorca Deportiva CF,Spain,?,1984
153,Jorge Carreño,Spain,Midfield,Hércules CF,Spain,Lorca Deportiva CF,Spain,?,1984
154,Eufemio Cabral,Paraguay,Central Midfield,Hércules CF,Spain,Lorca Deportiva CF,Spain,?,1984
156,Quini,Spain,Centre-Forward,FC Barcelona,Spain,Sporting Gijón,Spain,?,1984
157,Jorge Rinaldi,Argentina,Centre-Forward,CA San Lorenzo de Almagro,Argentina,Sporting Gijón,Spain,?,1984
158,Fernando Tocornal,Spain,Centre-Back,CD Cristo Olímpico,Spain,Sporting Gijón,Spain,?,1984
159,Alberto Bernardo,Spain,Midfield,Real Madrid,Spain,Sporting Gijón,Spain,?,1984
160,Abel,Spain,Centre-Forward,Sporting Gijón,Spain,Hércules CF,Spain,?,1984
161,Manuel Campuzano,Spain,Attack,Sporting Gijón,Spain,CF Lorca Deportiva,Spain,?,1984
162,Alberto Vallina,Spain,Defence,Sporting Gijón,Spain,Cartagonova FC,Spain,?,1984
163,Claudio Barragán,Spain,Attack,Levante UD,Spain,Elche CF,Spain,60000.0,1984
164,Mario Saralegui,Uruguay,Defensive Midfield,CA Peñarol,Uruguay,Elche CF,Spain,?,1984
165,Tommy Christensen,Denmark,Attack,Aarhus GF,Denmark,Elche CF,Spain,?,1984
166,Juan Morgado,Spain,Left-Back,Real Zaragoza,Spain,Elche CF,Spain,?,1984
167,José Luis Burgueña,Spain,Goalkeeper,CD Málaga,Spain,Elche CF,Spain,?,1984
168,Julio Suárez,Spain,Right Winger,Real Madrid,Spain,Elche CF,Spain,?,1984
169,Nando Mancebo,Spain,Defence,Cultural Leonesa,Spain,Elche CF,Spain,?,1984
170,Agustín Camacho,Spain,Midfield,Elche CF,Spain,CD Cristo Olímpico,Spain,?,1984
171,Alfonso Martínez,Spain,Attack,Elche CF,Spain,RC Deportivo Coruña,Spain,?,1984
172,Juani,Spain,Left Winger,RCD Mallorca,Spain,CD Málaga,Spain,?,1984
173,José Carlos Tello,Spain,Attack,Granada CF,Spain,CD Málaga,Spain,?,1984
174,Modesto Pérez,Spain,Attack,RCD Mallorca,Spain,CD Málaga,Spain,?,1984
175,Zlatomir Micanovic,Serbia,Attack,UD Salamanca,Spain,CD Málaga,Spain,?,1984
176,Ángelo,Spain,Defence,Málaga CF U19,Spain,CD Málaga,Spain,0.0,1984
177,Toni Ruiz,Spain,Goalkeeper,SD Malagueña,Spain,CD Málaga,Spain,0.0,1984
178,Manolo Hierro,Spain,Centre-Back,SD Malagueña,Spain,CD Málaga,Spain,0.0,1984
179,José Luis Burgueña,Spain,Goalkeeper,CD Málaga,Spain,Elche CF,Spain,?,1984
180,Fernando Rodríguez,Argentina,Right Winger,CD Málaga,Spain,Cartagonova FC,Spain,?,1984
181,Nacho,Spain,Left-Back,CD Málaga,Spain,Real Avilés CF,Spain,?,1984
182,Wilmar Cabrera,Uruguay,Centre-Forward,Millonarios FC,Colombia,Valencia CF,Spain,360000.0,1984
183,Quique Sánchez Flores,Spain,Right-Back,Club Deportivo Pegaso,Spain,Valencia CF,Spain,6000.0,1984
184,Jon García,Spain,Attack,Sestao SC,Spain,Valencia CF,Spain,?,1984
185,Juan José Juárez,Spain,Defence,CD Mestalla,Spain,Valencia CF,Spain,0.0,1984
186,Voro,Spain,Centre-Back,CD Mestalla,Spain,Valencia CF,Spain,0.0,1984
187,Carlos Arroyo,Spain,Midfield,CD Mestalla,Spain,Valencia CF,Spain,0.0,1984
188,José Cuxart,Spain,Defensive Midfield,CD Mestalla,Spain,Valencia CF,Spain,0.0,1984
189,Paco Ferrando,Spain,Midfield,CD Mestalla,Spain,Valencia CF,Spain,0.0,1984
190,Sixto Casabona,Spain,Attack,CD Mestalla,Spain,Valencia CF,Spain,0.0,1984
191,Mario Kempes,Argentina,Centre-Forward,Valencia CF,Spain,Hércules CF,Spain,?,1984
192,Pablo Rodríguez,Spain,Left Winger,Valencia CF,Spain,UD Salamanca,Spain,?,1984
193,Manuel Gálvez,Spain,Centre-Forward,Valencia CF,Spain,Lorca Deportiva CF,Spain,?,1984
194,Manolo Botubot,Spain,Centre-Back,Valencia CF,Spain,CD Castellón,Spain,?,1984
195,César Ferrando,Spain,Defensive Midfield,Valencia CF,Spain,UD Salamanca,Spain,?,1984
196,José Luis Manzanedo,Spain,Goalkeeper,Valencia CF,Spain,Real Valladolid Deportivo,Spain,?,1984
197,José Raúl Iglesias,Argentina,Attack,Valencia CF,Spain,Club Estudiantes de La Plata,Argentina,?,1984
198,Michel Pineda,France,Centre-Forward,AJ Auxerre,France,RCD Español,Spain,?,1984
199,Francesc Sirvent,Spain,Centre-Back,CE L'Hospitalet,Spain,RCD Español,Spain,?,1984
200,Luis Ignacio Ibáñez,Spain,Attack,Deportivo Alavés,Spain,RCD Español,Spain,?,1984
201,José Manuel Haro,Spain,Attack,CE L'Hospitalet,Spain,RCD Español,Spain,?,1984
202,Miquel Corominas,Spain,Right-Back,RCD Español,Spain,CF Lloret,Spain,?,1984
206,Lutxo Iturrino,Spain,Right Midfield,San Sebastián CF,Spain,Real Sociedad,Spain,0.0,1984
207,Kiko Zúñiga,Spain,Centre-Back,Real Sociedad Youth,Spain,Real Sociedad,Spain,0.0,1984
208,Agustín Elduayen,Spain,Goalkeeper,San Sebastián CF,Spain,Real Sociedad,Spain,0.0,1984
209,Pedro Otxotorena,Spain,Goalkeeper,Real Sociedad,Spain,CD Logroñés,Spain,?,1984
210,Rubén Bilbao,Spain,Defence,Athletic Bilbao B,Spain,Racing Santander,Spain,?,1984
211,Alan Campbell,Ireland,Centre-Forward,Shamrock Rovers,Ireland,Racing Santander,Spain,?,1984
212,Álvaro Cervera,Spain,Attack,SD Rayo Cantabria,Spain,Racing Santander,Spain,0.0,1984
213,Magnús Bergs,Iceland,Midfield,Racing Santander,Spain,Eintracht Braunschweig,Germany,?,1984
214,Ricardo Ferrero,Argentina,Goalkeeper,Racing Santander,Spain,Club Ferro Carril Oeste,Argentina,?,1984
215,Vicky,Spain,Midfield,Racing Santander,Spain,Real Murcia CF,Spain,?,1984
216,Enrique Morán,Spain,Centre-Forward,FC Barcelona,Spain,Atlético de Madrid,Spain,?,1984
217,Tomás Reñones,Spain,Right-Back,Atlético Madrileño CF,Spain,Atlético de Madrid,Spain,0.0,1984
218,Marcelino,Spain,Right-Back,Atlético de Madrid,Spain,UB Conquense,Spain,?,1984
219,Luis Marián,Spain,Right Midfield,Atlético de Madrid,Spain,Celta de Vigo,Spain,?,1984
220,Jorge Valdano,Argentina,Centre-Forward,Real Zaragoza,Spain,Real Madrid,Spain,120000.0,1984
221,Michel,Spain,Right Midfield,Castilla CF,Spain,Real Madrid,Spain,0.0,1984
222,John Metgod,Netherlands,Sweeper,Real Madrid,Spain,Nottingham Forest,England,455000.0,1984
223,Laurie Cunningham,England,Left Winger,Real Madrid,Spain,Olympique Marseille,France,?,1984
224,Juan Antonio Carcelén,Spain,Central Midfield,Real Madrid,Spain,Hércules CF,Spain,?,1984
225,Julio Suárez,Spain,Right Winger,Real Madrid,Spain,Elche CF,Spain,?,1984
226,Alberto Bernardo,Spain,Midfield,Real Madrid,Spain,Sporting Gijón,Spain,?,1984
228,Martín Pérez,Spain,Attack,Córdoba CF,Spain,Sevilla FC,Spain,?,1984
229,Manolo Jiménez,Spain,Left-Back,Sevilla FC B,Spain,Sevilla FC,Spain,0.0,1984
230,Jesús Choya,Spain,Midfield,Sevilla FC B,Spain,Sevilla FC,Spain,0.0,1984
231,Paco Ruiz,Spain,Goalkeeper,Sevilla FC,Spain,Cádiz CF,Spain,?,1984
232,Curro,Spain,Defence,Sevilla FC,Spain,UD Salamanca,Spain,?,1984
233,Santi Llorente,Spain,Right Winger,Sevilla FC,Spain,Real Oviedo CF,Spain,?,1984
236,Juan Carlos,Spain,Left-Back,Unknown,N/A,Real Valladolid Deportivo,Spain,?,1984
237,José Luis Manzanedo,Spain,Goalkeeper,Valencia CF,Spain,Real Valladolid Deportivo,Spain,?,1984
238,José Medina,Spain,Defence,Burgos CF,Spain,Real Valladolid Deportivo,Spain,?,1984
239,Paco Fortes,Spain,Right Winger,Real Valladolid Deportivo,Spain,SC Farense,Portugal,?,1984
240,Javi,Spain,Centre-Back,Real Valladolid Deportivo,Spain,SC Farense,Portugal,?,1984
247,Adolfo Muñoz,Spain,Attack,Atlético Madrileño CF,Spain,Real Murcia CF,Spain,?,1984
248,Víctor Brito,Spain,Midfield,Linares CF,Spain,Real Murcia CF,Spain,?,1984
249,Paco Martínez,Spain,Central Midfield,RCD Mallorca,Spain,Real Murcia CF,Spain,?,1984
250,Vicky,Spain,Midfield,Racing Santander,Spain,Real Murcia CF,Spain,?,1984
251,Enrique Herrero,Spain,Centre-Back,Real Murcia CF,Spain,Real Oviedo CF,Spain,?,1984
252,Patricio Pelegrín,Spain,Attack,Real Murcia CF,Spain,CD Castellón,Spain,?,1984
253,Pedro Valdo,Spain,Attack,Granada CF,Spain,Real Betis Balompié,Spain,?,1984
254,Gabino Rodríguez,Spain,Attacking Midfield,Real Betis B,Spain,Real Betis Balompié,Spain,0.0,1984
255,Cristóbal Mejías,Spain,Midfield,Real Betis B,Spain,Real Betis Balompié,Spain,0.0,1984
256,Antonio Reyes,Spain,Midfield,Real Betis B,Spain,Real Betis Balompié,Spain,0.0,1984
257,Canito,Spain,Centre-Back,Real Betis Balompié,Spain,Real Zaragoza,Spain,?,1984
258,Manolo Peña,Spain,Attack,Real Betis Balompié,Spain,Deportivo Alavés,Spain,?,1984
259,José Luis Barandica,Spain,Goalkeeper,Real Betis Balompié,Spain,Deportivo Alavés,Spain,?,1984
260,Andoni Cedrún,Spain,Goalkeeper,Athletic Bilbao,Spain,Real Zaragoza,Spain,135000.0,1984
261,Ivica Šurjak,Croatia,Left Winger,Udinese Calcio,Italy,Real Zaragoza,Spain,?,1984
262,Canito,Spain,Centre-Back,Real Betis Balompié,Spain,Real Zaragoza,Spain,?,1984
263,Jorge Valdano,Argentina,Centre-Forward,Real Zaragoza,Spain,Real Madrid,Spain,120000.0,1984
264,Juan Morgado,Spain,Left-Back,Real Zaragoza,Spain,Elche CF,Spain,?,1984
265,Modesto Pérez,Spain,Attack,Real Zaragoza,Spain,RCD Mallorca,Spain,?,1984
266,Ton Blanker,Netherlands,Centre-Forward,Real Zaragoza,Spain,FC Volendam,Netherlands,?,1984
267,Steve Archibald,Scotland,Centre-Forward,Tottenham Hotspur,England,FC Barcelona,Spain,2000000.0,1984
268,Ramón Calderé,Spain,Central Midfield,FC Barcelona Atlético,Spain,FC Barcelona,Spain,0.0,1984
269,Carlos Muñoz,Spain,Attack,FC Barcelona Atlético,Spain,FC Barcelona,Spain,0.0,1984
270,Diego Maradona,Argentina,Attacking Midfield,FC Barcelona,Spain,SSC Napoli,Italy,12000000.0,1984
271,Quini,Spain,Centre-Forward,FC Barcelona,Spain,Sporting Gijón,Spain,?,1984
272,Enrique Morán,Spain,Centre-Forward,FC Barcelona,Spain,Atlético de Madrid,Spain,?,1984
274,Óscar Vivanco,Spain,Left-Back,Athletic Bilbao B,Spain,Athletic Bilbao,Spain,0.0,1985
275,Miguel Sola,Spain,Attacking Midfield,Athletic Bilbao,Spain,CA Osasuna,Spain,?,1985
276,Patxi Bolaños,Spain,Centre-Back,Athletic Bilbao,Spain,Cádiz CF,Spain,?,1985
277,Javier González Etxebarria,Spain,Left-Back,Athletic Bilbao,Spain,UD Salamanca,Spain,?,1985
278,Pétur Pétursson,Iceland,Left Winger,Feyenoord Rotterdam,Netherlands,Hércules CF,Spain,?,1985
279,Francisco Botella,Spain,Defence,CD Castellón,Spain,Hércules CF,Spain,?,1985
280,Juan Carlos Álvarez,Spain,Central Midfield,Sevilla FC,Spain,Hércules CF,Spain,?,1985
281,Mehmed Janjos,Bosnia-Herzegovina,Midfield,FK Sarajevo,Bosnia-Herzegovina,Hércules CF,Spain,?,1985
282,Enrique Sala,Spain,Goalkeeper,Real Valladolid Deportivo,Spain,Hércules CF,Spain,?,1985
283,José Albaladejo,Spain,Left-Back,Real Murcia CF,Spain,Hércules CF,Spain,?,1985
284,Mario Kempes,Argentina,Centre-Forward,Hércules CF,Spain,First Vienna FC,Austria,?,1985
285,Jon Aspiazu,Spain,Midfield,Hércules CF,Spain,Sestao SC,Spain,?,1985
286,José Antonio Herbera,Spain,Centre-Forward,Hércules CF,Spain,CD Alcoyano,Spain,?,1985
287,José Rocamora,Spain,Defence,Hércules CF,Spain,Cartagonova FC,Spain,?,1985
290,José Velásquez,Peru,Defensive Midfield,Hércules CF,Spain,Municipal Iquique,Chile,0.0,1985
292,Patxi Bolaños,Spain,Centre-Back,Athletic Bilbao,Spain,Cádiz CF,Spain,?,1985
293,Juan José,Spain,Right-Back,Real Madrid,Spain,Cádiz CF,Spain,?,1985
294,Pintinho,Brazil,Attacking Midfield,Sevilla FC,Spain,Cádiz CF,Spain,?,1985
295,Osvaldo Hurtado,Chile,Attack,CD Universidad Católica,Chile,Cádiz CF,Spain,?,1985
296,Higinio Vilches,Spain,Left Midfield,Cádiz CF,Spain,Real Jaén CF,Spain,?,1985
297,Mirko Vojinovic,Serbia,Defence,Cádiz CF,Spain,FK Radnicki Nis,Serbia,?,1985
298,Manolo Valle,Spain,Attack,Cádiz CF,Spain,UE Figueres,Spain,?,1985
299,Tomás Orbegozo,Spain,Right-Back,Real Sociedad,Spain,Sporting Gijón,Spain,?,1985
300,Andy Bernal,Australia,Right-Back,Xerez CD,Spain,Sporting Gijón,Spain,?,1985
301,Marcelino,Spain,Midfield,Sporting Atlético,Spain,Sporting Gijón,Spain,0.0,1985
