,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
0,Siegfried Susser,Germany,Central Midfield,Stuttgarter Kickers,Germany,RC Strasbourg Alsace,France,?,1983
1,Philippe Schuth,France,Goalkeeper,Unknown,N/A,RC Strasbourg Alsace,France,?,1983
2,Abdelkarim Krimau,Morocco,Centre-Forward,FC Metz,France,RC Strasbourg Alsace,France,?,1983
3,Albert Gemmrich,France,Left Winger,LOSC Lille,France,RC Strasbourg Alsace,France,?,1983
4,Alfred Vitalis,France,Left-Back,AS Monaco,France,RC Strasbourg Alsace,France,?,1983
5,Claude Quéry,France,Attack,RC Lens,France,RC Strasbourg Alsace,France,?,1983
6,Issiaka Ouattara,Burkina Faso,Centre-Forward,FC Mulhouse 1893,France,RC Strasbourg Alsace,France,?,1983
7,Rémy Gentes,France,Attack,RC Strasbourg Alsace,France,Nîmes Olympique,France,?,1983
8,Jean-François Jodar,France,Centre-Back,RC Strasbourg Alsace,France,FC Montceau Bourgogne,France,?,1983
9,Bernard Romby,France,Defence,RC Strasbourg Alsace,France,Le Havre AC,France,?,1983
10,Guy Mauffroy,France,Attack,RC Strasbourg Alsace,France,Stade Français,France,?,1983
11,Daniel Neveu,France,Midfield,RC Strasbourg Alsace,France,Racing Strasbourg B,France,0.0,1983
12,Marc Chèze,France,Midfield,RC Strasbourg Alsace,France,Racing Strasbourg B,France,0.0,1983
13,Eric William Njo-Léa,Cameroon,Attack,Racing Club Franc-Comtois ,France,Brest Armorique FC,France,?,1983
14,Pascal Gousset,France,Centre-Back,LOSC Lille,France,Brest Armorique FC,France,?,1983
15,Joël Caddeo,France,Attack,Unknown,N/A,Brest Armorique FC,France,?,1983
16,Patrick Chaslerie,France,Goalkeeper,Angers SCO,France,Brest Armorique FC,France,?,1983
17,Bruno Steck,France,Centre-Back,FC Tours,France,Brest Armorique FC,France,?,1983
18,François Denis,France,Centre-Back,Unknown,N/A,Brest Armorique FC,France,?,1983
19,Slavoljub Muslin,Serbia,Defence,LOSC Lille,France,Brest Armorique FC,France,?,1983
20,Joël Henry,France,Attacking Midfield,LOSC Lille,France,Brest Armorique FC,France,?,1983
21,Eric Hély,France,Centre-Back,FC Sochaux-Montbéliard,France,Brest Armorique FC,France,?,1983
22,Eric Auffret,France,Midfield,Unknown,N/A,Brest Armorique FC,France,?,1983
23,Yvon Le Roux,France,Centre-Back,Brest Armorique FC,France,AS Monaco,France,?,1983
24,Drago Vabec,Croatia,Left Winger,Brest Armorique FC,France,GNK Dinamo Zagreb,Croatia,?,1983
25,Michel Goba,Cote d'Ivoire,Attack,Brest Armorique FC,France,AS Angoulême,France,?,1983
26,Patrice Augustin,France,Attacking Midfield,Brest Armorique FC,France,Club sportif Thonon-les-Bains,France,?,1983
27,Ambroise Kédié,Cote d'Ivoire,Defence,Brest Armorique FC,France,Stade quimpérois,France,?,1983
28,Fréderic Dobraje,France,Goalkeeper,Brest Armorique FC,France,FC Tours,France,?,1983
29,Patrick Parizon,France,Right Winger,Brest Armorique FC,France,Club sportif Thonon-les-Bains,France,?,1983
30,Gérard Bernardet,France,Attacking Midfield,Brest Armorique FC,France,FC Mulhouse 1893,France,?,1983
31,Bernard Bureau,France,Right Winger,Brest Armorique FC,France,LOSC Lille,France,?,1983
33,Philippe Sence,France,Goalkeeper,INF Vichy,France,FC Rouen,France,?,1983
34,Philippe Redon,France,Right Winger,Stade Lavallois,France,FC Rouen,France,?,1983
35,Cyriaque Didaux,France,Left Midfield,US Valenciennes-Anzin,France,FC Rouen,France,?,1983
36,Gilles Gallou,France,Right-Back,RC Lens,France,FC Rouen,France,?,1983
37,Bronislaw Bula,Poland,Attacking Midfield,FC Rouen,France,Racing Club d'Arras,France,?,1983
38,Joël Tanter,France,Right Winger,FC Rouen,France,Association sportive aixoise,France,?,1983
39,Bernard Caron,France,Centre-Back,FC Rouen,France,Périgueux Football Club,France,?,1983
40,Dominique Berthaud,France,Centre-Back,FC Rouen,France,Stade quimpérois,France,?,1983
42,Serge Allary,France,Goalkeeper,FC Rouen,France,FC Rouen B,France,0.0,1983
43,Krzysztof Surlit,Poland,Central Midfield,Widzew Lodz,Poland,Nîmes Olympique,France,?,1983
44,Rémy Gentes,France,Attack,RC Strasbourg Alsace,France,Nîmes Olympique,France,?,1983
45,Eric Solignac,France,Goalkeeper,AS Saint-Étienne,France,Nîmes Olympique,France,?,1983
46,Michel Le Blayo,France,Sweeper,FC Toulouse,France,Nîmes Olympique,France,?,1983
47,Gérard Bacconnier,France,Defence,Sporting Étoile Club Bastia ,France,Nîmes Olympique,France,?,1983
48,Philippe Sirvent,France,Defence,Nîmes Olympique B,France,Nîmes Olympique,France,0.0,1983
49,Alain Espeisse,France,Midfield,Nîmes Olympique B,France,Nîmes Olympique,France,0.0,1983
50,Jean-Michel Simonella,France,Goalkeeper,Nîmes Olympique B,France,Nîmes Olympique,France,0.0,1983
51,Abdelaziz Mansouri,Algeria,Defence,Nîmes Olympique,France,FC Mulhouse 1893,France,?,1983
52,Lionel Justier,France,Right Midfield,Nîmes Olympique,France,AS Angoulême,France,?,1983
53,Eric Castagnino,France,Midfield,Nîmes Olympique,France,OGC Nice,France,?,1983
54,Denis Bonifacio,France,Attack,Nîmes Olympique,France,AC Arles-Avignon,France,?,1983
55,Dominique Chevalier,France,Defence,Nîmes Olympique,France,CO Le Puy ,France,?,1983
56,François Zahoui,Cote d'Ivoire,Attacking Midfield,Ascoli Calcio 1898,Italy,AS Nancy-Lorraine,France,?,1983
57,Rachid Maâtar,Algeria,Midfield,AS Angoulême,France,AS Nancy-Lorraine,France,?,1983
58,Moreno Fabiani,Italy,Defence,FC Mulhouse 1893,France,AS Nancy-Lorraine,France,?,1983
59,Yves Etienne,France,Midfield,SR Saint-Dié,France,AS Nancy-Lorraine,France,?,1983
60,Branko Tucak,Croatia,Defence,FC Metz,France,AS Nancy-Lorraine,France,?,1983
61,Stéphane Chevalier,France,Midfield,AS Nancy-Lorraine B,France,AS Nancy-Lorraine,France,0.0,1983
62,Hubert Martin,France,Defence,AS Nancy-Lorraine B,France,AS Nancy-Lorraine,France,0.0,1983
63,Bruno Lalevée,France,Attack,AS Nancy-Lorraine B,France,AS Nancy-Lorraine,France,0.0,1983
64,Jean-Luc Jacquinot,France,Midfield,AS Nancy-Lorraine B,France,AS Nancy-Lorraine,France,0.0,1983
65,Bernard Zénier,France,Centre-Forward,AS Nancy-Lorraine,France,FC Girondins Bordeaux,France,?,1983
66,Paco Rubio,France,Attacking Midfield,AS Nancy-Lorraine,France,Olympique Marseille,France,?,1983
67,Fernando Zappia,Argentina,Sweeper,AS Nancy-Lorraine,France,FC Metz,France,?,1983
68,Pierre Neubert,France,Midfield,AS Nancy-Lorraine,France,Sporting Club de Toulon et du Var,France,?,1983
69,Patrick Gabriel,France,Defensive Midfield,AS Nancy-Lorraine,France,AS Nancy-Lorraine B,France,0.0,1983
70,Alain Vandeputte,France,Attack,SM Caen,France,LOSC Lille,France,?,1983
71,Jean-Paul Noël,France,Left-Back,AJ Auxerre,France,LOSC Lille,France,?,1983
72,Lucien Denis,France,Right-Back,AJ Auxerre,France,LOSC Lille,France,?,1983
73,Claude Robin,France,Defence,Racing Club Franc-Comtois ,France,LOSC Lille,France,?,1983
74,Bernard Bureau,France,Right Winger,Brest Armorique FC,France,LOSC Lille,France,?,1983
75,Dominique Thomas,France,Left-Back,INF Vichy,France,LOSC Lille,France,?,1983
76,David Guion,France,Defence,Unknown,N/A,LOSC Lille,France,?,1983
77,Boro Primorac,Croatia,Centre-Back,HNK Hajduk Split,Croatia,LOSC Lille,France,?,1983
78,Roger Ricort,France,Attacking Midfield,AS Monaco,France,LOSC Lille,France,?,1983
79,Dusan Savic,Serbia,Centre-Forward,Sporting Gijón,Spain,LOSC Lille,France,?,1983
80,Thierry Froger,France,Defence,LOSC Lille B,France,LOSC Lille,France,0.0,1983
81,Eric Prissette,France,Sweeper,LOSC Lille B,France,LOSC Lille,France,0.0,1983
82,Luc Courson,France,Attack,LOSC Lille B,France,LOSC Lille,France,0.0,1983
83,Michel Titeca,France,Attacking Midfield,LOSC Lille B,France,LOSC Lille,France,0.0,1983
84,Rudi Garcia,France,Attacking Midfield,LOSC Lille U19,France,LOSC Lille,France,0.0,1983
85,Othello Carré,France,Midfield,LOSC Lille U19,France,LOSC Lille,France,0.0,1983
86,Jean-Paul Delemer,France,Attack,LOSC Lille,France,Rot-Weiss Essen,Germany,?,1983
87,Alain Grumelon,France,Midfield,LOSC Lille,France,FC Mulhouse 1893,France,?,1983
88,Patrick Rabathaly,France,Defence,LOSC Lille,France,OGC Nice,France,?,1983
89,Pascal Gousset,France,Centre-Back,LOSC Lille,France,Brest Armorique FC,France,?,1983
90,René Marsiglia,France,Defensive Midfield,LOSC Lille,France,RC Lens,France,?,1983
91,Pascal Françoise,France,Centre-Forward,LOSC Lille,France,OGC Nice,France,?,1983
92,Joël Henry,France,Attacking Midfield,LOSC Lille,France,Brest Armorique FC,France,?,1983
93,Pierre Dréossi,France,Centre-Back,LOSC Lille,France,FC Sochaux-Montbéliard,France,?,1983
94,Philippe Bergeroo,France,Goalkeeper,LOSC Lille,France,FC Toulouse,France,?,1983
95,Engin Verel,Turkey,Attacking Midfield,LOSC Lille,France,Fenerbahce,Turkey,?,1983
96,Albert Gemmrich,France,Left Winger,LOSC Lille,France,RC Strasbourg Alsace,France,?,1983
97,Slavoljub Muslin,Serbia,Defence,LOSC Lille,France,Brest Armorique FC,France,?,1983
98,Klaus-Dieter Jank,Germany,Right Winger,Stuttgarter Kickers,Germany,Stade Lavallois,France,?,1983
99,Jean-Michel Godart,France,Goalkeeper,Union sportive Nœux-les-Mines,France,Stade Lavallois,France,?,1983
100,Pedro Pedrucci,Uruguay,Midfield,Club Nacional,Uruguay,Stade Lavallois,France,?,1983
101,Jean-Robert Faucher,France,Attack,INF Vichy,France,Stade Lavallois,France,?,1983
102,Olivier Blino,France,Midfield,Stade Laval B,France,Stade Lavallois,France,0.0,1983
103,Uwe Krause,Germany,Centre-Forward,Stade Lavallois,France,AS Monaco,France,?,1983
104,Victor Zvunka,France,Right-Back,Stade Lavallois,France,Racing Club Paris,France,?,1983
105,Jean-Pierre Tempet,France,Goalkeeper,Stade Lavallois,France,RC Lens,France,?,1983
106,Philippe Redon,France,Right Winger,Stade Lavallois,France,FC Rouen,France,?,1983
107,Gérard Buscher,France,Centre-Forward,OGC Nice,France,FC Nantes,France,?,1983
108,Krzysztof Frankowski,Poland,Right-Back,Stal Mielec,Poland,FC Nantes,France,?,1983
109,Christophe Robert,France,Left Winger,FC Nantes B,France,FC Nantes,France,0.0,1983
110,Jean-Michel Labejof,France,Attacking Midfield,FC Nantes B,France,FC Nantes,France,0.0,1983
111,Henrik Agerbeck,Denmark,Right Winger,FC Nantes,France,FC Sochaux-Montbéliard,France,?,1983
112,Thierry Tusseau,France,Left-Back,FC Nantes,France,FC Girondins Bordeaux,France,?,1983
113,Miroslaw Tlokinski,Poland,Sweeper,Widzew Lodz,Poland,RC Lens,France,?,1983
114,Roman Ogaza,Poland,Centre-Forward,Szombierki Bytom,Poland,RC Lens,France,?,1983
115,Jean-Pierre Tempet,France,Goalkeeper,Stade Lavallois,France,RC Lens,France,?,1983
116,René Marsiglia,France,Defensive Midfield,LOSC Lille,France,RC Lens,France,?,1983
117,Bouazza El Aouad,Morocco,Defence,RC Lens B,France,RC Lens,France,0.0,1983
118,Chérif Oudjani,Algeria,Centre-Forward,RC Lens B,France,RC Lens,France,0.0,1983
119,Daniel Leclercq,France,Centre-Back,RC Lens,France,US Valenciennes-Anzin,France,?,1983
120,Francis Hédoire,France,Goalkeeper,RC Lens,France,Paris Saint-Germain,France,?,1983
121,Gilles Gallou,France,Right-Back,RC Lens,France,FC Rouen,France,?,1983
122,Claude Quéry,France,Attack,RC Lens,France,RC Strasbourg Alsace,France,?,1983
123,Teitur Thórdarson,Iceland,Attack,RC Lens,France,AS Cannes,France,?,1983
124,Georges Tournay,France,Attack,RC Lens,France,SC Abbeville,France,?,1983
125,Henrik Agerbeck,Denmark,Right Winger,FC Nantes,France,FC Sochaux-Montbéliard,France,?,1983
126,Franck Sauzée,France,Central Midfield,UMS Montélimar,France,FC Sochaux-Montbéliard,France,?,1983
127,Pierre Dréossi,France,Centre-Back,LOSC Lille,France,FC Sochaux-Montbéliard,France,?,1983
128,Franck Mantaux,France,Goalkeeper,FC Sochaux-Montbéliard B,France,FC Sochaux-Montbéliard,France,0.0,1983
129,Franck Robin,France,Midfield,FC Sochaux-Montbéliard B,France,FC Sochaux-Montbéliard,France,0.0,1983
130,Yannick Stopyra,France,Centre-Forward,FC Sochaux-Montbéliard,France,Stade Rennais FC,France,?,1983
131,Jacques Zimako,France,Left Winger,FC Sochaux-Montbéliard,France,Sporting Étoile Club Bastia ,France,?,1983
132,Eric Hély,France,Centre-Back,FC Sochaux-Montbéliard,France,Brest Armorique FC,France,?,1983
133,Eric Benoît,France,Defensive Midfield,FC Sochaux-Montbéliard,France,AS Monaco,France,?,1983
134,Moussa Bezaz,France,Right-Back,FC Sochaux-Montbéliard,France,Stade Rennais FC,France,?,1983
135,Alain Ruiz,Cameroon,Defence,FC Sochaux-Montbéliard,France,Entente Chaumont Athlétic des Cheminots,France,?,1983
137,Bernard Zénier,France,Centre-Forward,AS Nancy-Lorraine,France,FC Girondins Bordeaux,France,?,1983
138,Thierry Tusseau,France,Left-Back,FC Nantes,France,FC Girondins Bordeaux,France,?,1983
139,Patrick Battiston,France,Centre-Back,AS Saint-Étienne,France,FC Girondins Bordeaux,France,?,1983
140,Hassan Hanini,Morocco,Left Winger,US Tavaux Damparis,France,FC Girondins Bordeaux,France,?,1983
141,Dragan Pantelic,Serbia,Goalkeeper,FC Girondins Bordeaux,France,FK Timok Zajecar,Serbia,?,1983
142,François Bracci,France,Right-Back,FC Girondins Bordeaux,France,Olympique Marseille,France,?,1983
143,Eric Boucher,France,Centre-Back,FC Girondins Bordeaux,France,Olympique Lyon,France,?,1983
144,Alain Garraud,France,Centre-Back,FC Girondins Bordeaux,France,Stade quimpérois,France,?,1983
146,Christophe Ichas,France,Right-Back,FC Girondins Bordeaux,France,FC Girondins Bordeaux B,France,0.0,1983
147,Yannick Daisson,France,Left Midfield,FC Girondins Bordeaux,France,FC Girondins Bordeaux B,France,0.0,1983
148,Hervé Gandolfi,France,Left-Back,FC Girondins Bordeaux,France,FC Girondins Bordeaux B,France,0.0,1983
149,Eric Bellus,France,Left Winger,FC Metz,France,AS Saint-Étienne,France,?,1983
150,Robert Sab,France,Defensive Midfield,OGC Nice,France,AS Saint-Étienne,France,?,1983
151,Daniel Sanchez,France,Right Winger,FC Mulhouse 1893,France,AS Saint-Étienne,France,?,1983
152,Bernard Simondi,France,Centre-Back,FC Tours,France,AS Saint-Étienne,France,?,1983
153,Janusz Kupcewicz,Poland,Attacking Midfield,Lech Poznan,Poland,AS Saint-Étienne,France,?,1983
154,Lobo Diarte,Paraguay,Centre-Forward,Real Betis Balompié,Spain,AS Saint-Étienne,France,?,1983
155,Jean-Luc Ribar,France,Attacking Midfield,AS Saint-Étienne U19,France,AS Saint-Étienne,France,0.0,1983
156,Eric Clavelloux,France,Right-Back,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,1983
157,Guy Clavelloux,France,Right Midfield,AS Saint-Étienne U19,France,AS Saint-Étienne,France,0.0,1983
158,Yves Colleu,France,Defensive Midfield,AS Saint-Étienne,France,AS Angoulême,France,?,1983
159,Eric Solignac,France,Goalkeeper,AS Saint-Étienne,France,Nîmes Olympique,France,?,1983
160,Laurent Roussey,France,Centre-Forward,AS Saint-Étienne,France,FC Toulouse,France,?,1983
161,Patrice Lestage,France,Left-Back,AS Saint-Étienne,France,FC Tours,France,?,1983
162,Flemming Christensen,Denmark,Centre-Forward,AS Saint-Étienne,France,Lyngby BK,Denmark,?,1983
163,Sofiane Meziani,Algeria,Midfield,AS Saint-Étienne,France,AS Corbeil-Essonnes,France,?,1983
164,Gérard Janvion,France,Right-Back,AS Saint-Étienne,France,Paris Saint-Germain,France,?,1983
165,Bernard Genghini,France,Attacking Midfield,AS Saint-Étienne,France,AS Monaco,France,?,1983
166,Patrick Battiston,France,Centre-Back,AS Saint-Étienne,France,FC Girondins Bordeaux,France,?,1983
167,Johnny Rep,Netherlands,Right Winger,AS Saint-Étienne,France,PEC Zwolle '82,Netherlands,?,1983
168,Philippe Lévenard,France,Left-Back,Unknown,N/A,Sporting Étoile Club Bastia ,France,?,1983
169,Bernard Ferrigno,France,Attack,FC Tours,France,Sporting Étoile Club Bastia ,France,?,1983
170,Daniel Solsona,Spain,Attacking Midfield,Valencia CF,Spain,Sporting Étoile Club Bastia ,France,?,1983
171,Jacques Zimako,France,Left Winger,FC Sochaux-Montbéliard,France,Sporting Étoile Club Bastia ,France,?,1983
172,Paul Marchioni,France,Defence,OGC Nice,France,Sporting Étoile Club Bastia ,France,?,1983
173,Alberto Tarantini,Argentina,Left-Back,CA River Plate,Argentina,Sporting Étoile Club Bastia ,France,?,1983
174,Paul Squaglia,France,Defence,SC Bastia B,France,Sporting Étoile Club Bastia ,France,0.0,1983
175,Jean-Marie Ferri,France,Defence,Sporting Étoile Club Bastia ,France,Gazélec Football Club Olympique Ajaccio,France,?,1983
176,Michel Massemba,Congo,Attack,Sporting Étoile Club Bastia ,France,US Alençon,France,?,1983
177,Gérard Bacconnier,France,Defence,Sporting Étoile Club Bastia ,France,Nîmes Olympique,France,?,1983
178,Christian Bracconi,France,Attack,Sporting Étoile Club Bastia ,France,Racing Club Franc-Comtois ,France,?,1983
179,Hamdler Tho,France,Attack,Sporting Étoile Club Bastia ,France,Racing Club Franc-Comtois ,France,?,1983
180,Sauveur Agostini,France,Centre-Forward,Sporting Étoile Club Bastia ,France,Olympique avignonnais,France,?,1983
181,Zdravko Borovnica,Serbia,Centre-Back,Sporting Étoile Club Bastia ,France,NK Olimpija Ljubljana,Slovenia,?,1983
182,Frédéric Antonetti,France,Midfield,Sporting Étoile Club Bastia ,France,Béziers Devèze FC,France,?,1983
183,Pascal Mariini,France,Centre-Forward,Sporting Étoile Club Bastia ,France,Racing Club Franc-Comtois ,France,?,1983
184,Pierre Bianconi,France,Right-Back,Sporting Étoile Club Bastia ,France,Racing Club Franc-Comtois ,France,?,1983
185,Jean-Marie De Zerbi,France,Left Winger,Sporting Étoile Club Bastia ,France,FC Tours,France,?,1983
186,Pierrick Hiard,France,Goalkeeper,Sporting Étoile Club Bastia ,France,Stade Rennais FC,France,?,1983
188,Marcel De Falco,France,Attack,Olympique Marseille,France,Paris Saint-Germain,France,?,1983
189,Manuel Abreu,France,Defensive Midfield,Stade Reims,France,Paris Saint-Germain,France,?,1983
190,Francis Hédoire,France,Goalkeeper,RC Lens,France,Paris Saint-Germain,France,?,1983
191,Gérard Janvion,France,Right-Back,AS Saint-Étienne,France,Paris Saint-Germain,France,?,1983
192,Alain Couriol,France,Attacking Midfield,AS Monaco,France,Paris Saint-Germain,France,?,1983
193,Kees Kist,Netherlands,Centre-Forward,Paris Saint-Germain,France,FC Mulhouse 1893,France,?,1983
194,Philippe Col,France,Left-Back,Paris Saint-Germain,France,Sporting Club de Toulon et du Var,France,?,1983
195,Boubacar Sarr,Senegal,Centre-Forward,Paris Saint-Germain,France,Olympique Marseille,France,?,1983
196,Delio Onnis,Argentina,Centre-Forward,FC Tours,France,Sporting Club de Toulon et du Var,France,?,1983
197,Philippe Col,France,Left-Back,Paris Saint-Germain,France,Sporting Club de Toulon et du Var,France,?,1983
198,Albert Emon,France,Left Winger,Olympique Lyon,France,Sporting Club de Toulon et du Var,France,?,1983
199,Alain Ribéri,France,Goalkeeper,AS Monaco B,Monaco,Sporting Club de Toulon et du Var,France,?,1983
200,Pierre Neubert,France,Midfield,AS Nancy-Lorraine,France,Sporting Club de Toulon et du Var,France,?,1983
201,Gérard Verstraete,France,Midfield,Football Club Association Sportive de Grenoble,France,Sporting Club de Toulon et du Var,France,?,1983
202,Bruno Six,France,Midfield,Unknown,N/A,Sporting Club de Toulon et du Var,France,?,1983
203,Laurent Rouet,France,Defence,Sporting Club de Toulon U19,France,Sporting Club de Toulon et du Var,France,0.0,1983
204,Bernard Blaquart,France,Centre-Forward,Sporting Club de Toulon et du Var,France,Stade Français,France,?,1983
205,Cheikh Diallo,Mali,Attack,Sporting Club de Toulon et du Var,France,CS Meaux Academy,France,?,1983
206,Paco Bandera,France,Attack,Sporting Club de Toulon et du Var,France,FC Martigues,France,?,1983
207,Patrick Feuillerat,France,Attack,Sporting Club de Toulon et du Var,France,Luzenac Ariège Pyrénées,France,?,1983
210,Lucien Favre,Switzerland,Attacking Midfield,Servette FC,Switzerland,FC Toulouse,France,?,1983
211,Olivier Roussey,France,Centre-Back,LB Châteauroux,France,FC Toulouse,France,?,1983
212,Laurent Roussey,France,Centre-Forward,AS Saint-Étienne,France,FC Toulouse,France,?,1983
213,Guy Lacombe,France,Left Winger,FC Tours,France,FC Toulouse,France,?,1983
214,Jean-François Domergue,France,Left-Back,Olympique Lyon,France,FC Toulouse,France,?,1983
215,Philippe Bergeroo,France,Goalkeeper,LOSC Lille,France,FC Toulouse,France,?,1983
216,Pierre Espanol,France,Midfield,Toulouse FC B,France,FC Toulouse,France,0.0,1983
217,André Tota,France,Left Winger,FC Toulouse,France,Association Sportive Strasbourg,France,?,1983
218,Serge Bex,France,Attacking Midfield,FC Toulouse,France,Olympique Lyon,France,?,1983
219,Michel Le Blayo,France,Sweeper,FC Toulouse,France,Nîmes Olympique,France,?,1983
220,Robert Pintenat,France,Centre-Forward,FC Toulouse,France,Olympique avignonnais,France,?,1983
221,Patrice Ségura,France,Attack,FC Toulouse,France,FC Sète 34,France,?,1983
222,Marc Weller,France,Goalkeeper,FC Toulouse,France,Stade quimpérois,France,?,1983
223,Károly Csapó,Hungary,Central Midfield,FC Toulouse,France,Football Club Association Sportive de Grenoble,France,?,1983
224,László Bálint,Hungary,Centre-Back,FC Toulouse,France,Football Club Association Sportive de Grenoble,France,?,1983
225,Jean-Luc Vinuesa,France,Attack,FC Toulouse,France,FC Sète 34,France,?,1983
227,Roby Langers,Luxembourg,Centre-Forward,Olympique Marseille,France,FC Metz,France,?,1983
228,Daniel Cangini,France,Attack,FC Thionville (- 2021),France,FC Metz,France,?,1983
229,Robert Barraja,France,Left-Back,OGC Nice,France,FC Metz,France,?,1983
230,Jean-Marc Rodolphe,France,Goalkeeper,CS Blénod et Pont-a-Mousson,France,FC Metz,France,?,1983
231,Fernando Zappia,Argentina,Sweeper,AS Nancy-Lorraine,France,FC Metz,France,?,1983
232,Éric Pécout,France,Centre-Forward,AS Monaco,France,FC Metz,France,?,1983
233,Carmelo Micciche,France,Centre-Forward,AS Sarreguemines,France,FC Metz,France,?,1983
234,Laurent Têtu,France,Defence,FC Metz B,France,FC Metz,France,0.0,1983
235,Michel Deza,France,Attack,FC Metz U19,France,FC Metz,France,0.0,1983
236,Antoine Pfrunner,France,Centre-Back,FC Metz B,France,FC Metz,France,0.0,1983
237,Branko Tucak,Croatia,Defence,FC Metz,France,AS Nancy-Lorraine,France,?,1983
238,Patrick Moretto,France,Defence,FC Metz,France,AS Angoulême,France,?,1983
239,Patrice Loiseau,France,Centre-Back,FC Metz,France,FC Tours,France,?,1983
240,François Zdun,France,Left-Back,FC Metz,France,FC Mulhouse 1893,France,?,1983
241,Norbert Zinsz,France,Attack,FC Metz,France,USL Dunkerque,France,?,1983
242,Eric Bellus,France,Left Winger,FC Metz,France,AS Saint-Étienne,France,?,1983
243,Abdelkarim Krimau,Morocco,Centre-Forward,FC Metz,France,RC Strasbourg Alsace,France,?,1983
244,Bernard Ferrer,France,Attacking Midfield,INF Vichy,France,AJ Auxerre,France,?,1983
245,Eric Cantona,France,Second Striker,AJ Auxerre U19,France,AJ Auxerre,France,0.0,1983
246,Eric Géraldes,France,Attack,AJ Auxerre B,France,AJ Auxerre,France,0.0,1983
247,Jérôme Lorant,France,Defence,AJ Auxerre B,France,AJ Auxerre,France,0.0,1983
248,Lucien Denis,France,Right-Back,AJ Auxerre,France,LOSC Lille,France,?,1983
249,Jean-Paul Noël,France,Left-Back,AJ Auxerre,France,LOSC Lille,France,?,1983
250,Patrick Gonfalone,France,Left Winger,AJ Auxerre,France,Le Havre AC,France,?,1983
251,Pierre Papeau,France,Attack,AJ Auxerre,France,FC Montceau Bourgogne,France,?,1983
252,Udo Horsmann,Germany,Left-Back,Bayern Munich,Germany,Stade Rennais FC,France,?,1983
253,Wlodzimierz Mazur,Poland,Attack,Zaglebie Sosnowiec,Poland,Stade Rennais FC,France,?,1983
254,Yannick Stopyra,France,Centre-Forward,FC Sochaux-Montbéliard,France,Stade Rennais FC,France,?,1983
255,Pierrick Hiard,France,Goalkeeper,Sporting Étoile Club Bastia ,France,Stade Rennais FC,France,?,1983
256,Gilles Bourges,France,Goalkeeper,INF Vichy,France,Stade Rennais FC,France,?,1983
257,Moussa Bezaz,France,Right-Back,FC Sochaux-Montbéliard,France,Stade Rennais FC,France,?,1983
258,Dominique Marais,France,Centre-Back,FC Tours,France,Stade Rennais FC,France,?,1983
259,Jacky Charrier,France,Attack,Angers SCO,France,Stade Rennais FC,France,?,1983
260,Serge Le Dizet,France,Right-Back,Stade Rennais FC B,France,Stade Rennais FC,France,0.0,1983
261,Thierry Robert,France,Centre-Back,Stade Rennais FC B,France,Stade Rennais FC,France,0.0,1983
262,Vicky Peretz,Israel,Centre-Forward,Stade Rennais FC,France,Maccabi Tel Aviv,Israel,90000.0,1983
263,Philippe Berlin,France,Left-Back,Stade Rennais FC,France,Stade Reims,France,0.0,1983
264,Jean-Noël Dusé,France,Goalkeeper,Stade Rennais FC,France,Limoges FC,France,?,1983
265,Mario Relmy,France,Centre-Forward,Stade Rennais FC,France,Limoges FC,France,?,1983
266,Didier Dufour,France,Right-Back,Stade Rennais FC,France,EA Guingamp,France,?,1983
267,Pierre Sither,France,Attack,Stade Rennais FC,France,Racing Club Paris,France,?,1983
268,Juan Simón,Argentina,Centre-Back,CA Newell's Old Boys,Argentina,AS Monaco,France,?,1983
269,Victor Da Silva,France,Midfield,INF Vichy,France,AS Monaco,France,?,1983
270,Frédéric Zago,France,Centre-Back,INF Vichy,France,AS Monaco,France,?,1983
271,Eric Benoît,France,Defensive Midfield,FC Sochaux-Montbéliard,France,AS Monaco,France,?,1983
272,Uwe Krause,Germany,Centre-Forward,Stade Lavallois,France,AS Monaco,France,?,1983
273,Yvon Le Roux,France,Centre-Back,Brest Armorique FC,France,AS Monaco,France,?,1983
274,Bernard Genghini,France,Attacking Midfield,AS Saint-Étienne,France,AS Monaco,France,?,1983
275,Daniel Bravo,France,Central Midfield,OGC Nice,France,AS Monaco,France,?,1983
276,Guy Mengual,France,Attack,AS Monaco,France,OGC Nice,France,?,1983
277,Roger Ricort,France,Attacking Midfield,AS Monaco,France,LOSC Lille,France,?,1983
278,Éric Pécout,France,Centre-Forward,AS Monaco,France,FC Metz,France,?,1983
279,Alfred Vitalis,France,Left-Back,AS Monaco,France,RC Strasbourg Alsace,France,?,1983
280,Umberto Barberis,Switzerland,Attacking Midfield,AS Monaco,France,Servette FC,Switzerland,?,1983
281,Alain Couriol,France,Attacking Midfield,AS Monaco,France,Paris Saint-Germain,France,?,1983
282,Ralf Edström,Sweden,Centre-Forward,AS Monaco,France,Örgryte IS,Sweden,?,1983
283,Henri Stambouli,France,Goalkeeper,AS Monaco,France,AS Monaco B,Monaco,0.0,1983
284,Frédéric Christen,France,Attacking Midfield,AS Monaco,France,AS Monaco B,Monaco,0.0,1983
285,Uwe Krause,Germany,Centre-Forward,AS Monaco,France,FC Sochaux-Montbéliard,France,?,1984
