,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
13448,Vincent Pajot,France,Defensive Midfield,Angers SCO,France,FC Metz,France,700000.0,2020
13449,Marc-Aurèle Caillard,France,Goalkeeper,EA Guingamp,France,FC Metz,France,0.0,2020
13450,Ernest Boahene,Ghana,Right-Back,Rainbow FC Kumasi,Ghana,FC Metz,France,0.0,2020
13451,Pape Matar Sarr,Senegal,Central Midfield,Génération Foot,Senegal,FC Metz,France,?,2020
13452,Lamine Gueye,Senegal,Right Winger,Génération Foot,Senegal,FC Metz,France,?,2020
13453,Lenny Lacroix,France,Centre-Back,FC Metz B,France,FC Metz,France,0.0,2020
13454,Georges Mikautadze,Georgia,Centre-Forward,FC Metz B,France,FC Metz,France,0.0,2020
13455,Youssef Maziz,France,Attacking Midfield,FC Metz B,France,FC Metz,France,0.0,2020
13456,Leverton Pierre,Haiti,Defensive Midfield,FC Metz B,France,FC Metz,France,0.0,2020
13457,Habib Diallo,Senegal,Centre-Forward,FC Metz,France,RC Strasbourg Alsace,France,10000000.0,2020
13458,Laurent Jans,Luxembourg,Right-Back,FC Metz,France,Standard Liège,Belgium,0.0,2020
13459,Paul Delecroix,France,Goalkeeper,FC Metz,France,FC Annecy,France,0.0,2020
13460,Gerónimo Poblete,Argentina,Defensive Midfield,FC Metz,France,Deportes La Serena,Chile,0.0,2020
13461,Marvin Gakpa,France,Central Midfield,FC Metz,France,Paris FC,France,?,2020
13462,Vincent Thill,Luxembourg,Attacking Midfield,FC Metz,France,CD Nacional,Portugal,?,2020
13463,Gauthier Hein,France,Right Winger,FC Metz,France,AJ Auxerre,France,?,2020
13464,Adama Traoré,Mali,Right Winger,FC Metz,France,FC Sheriff Tiraspol,Moldova,?,2020
13465,Leverton Pierre,Haiti,Defensive Midfield,FC Metz,France,USL Dunkerque,France,?,2020
13468,Roger Assalé,Cote d'Ivoire,Centre-Forward,BSC Young Boys,Switzerland,Dijon FCO,France,4000000.0,2020
13469,Jonathan Panzo,England,Centre-Back,AS Monaco B,France,Dijon FCO,France,3400000.0,2020
13470,Bersant Celina,Kosovo,Attacking Midfield,Swansea City,England,Dijon FCO,France,3000000.0,2020
13471,Moussa Konaté,Senegal,Centre-Forward,Amiens SC,France,Dijon FCO,France,2400000.0,2020
13472,Saturnin Allagbé,Benin,Goalkeeper,Chamois Niortais FC,France,Dijon FCO,France,2000000.0,2020
13473,Alex Dobre,Romania,Left Winger,AFC Bournemouth U21,England,Dijon FCO,France,1000000.0,2020
13474,Anthony Racioppi,Switzerland,Goalkeeper,Olympique Lyon,France,Dijon FCO,France,0.0,2020
13475,Wilitty Younoussa,Cameroon,Defensive Midfield,Dijon FCO B,France,Dijon FCO,France,0.0,2020
13476,Ahmad Ngouyamsa,Cameroon,Right-Back,Dijon FCO B,France,Dijon FCO,France,0.0,2020
13477,Rayan Philippe,France,Centre-Forward,Dijon FCO B,France,Dijon FCO,France,0.0,2020
13478,Alfred Gomis,Senegal,Goalkeeper,Dijon FCO,France,Stade Rennais FC,France,10000000.0,2020
13479,Nayef Aguerd,Morocco,Centre-Back,Dijon FCO,France,Stade Rennais FC,France,4000000.0,2020
13480,Rúnar Alex Rúnarsson,Iceland,Goalkeeper,Dijon FCO,France,Arsenal FC,England,2000000.0,2020
13481,Julio Tavarès,Cape Verde,Centre-Forward,Dijon FCO,France,Al-Faisaly FC,Saudi Arabia,1000000.0,2020
13482,Enzo Loiodice,France,Central Midfield,Dijon FCO,France,UD Las Palmas,Spain,0.0,2020
13483,Mickaël Alphonse,Guadeloupe,Right-Back,Dijon FCO,France,Amiens SC,France,?,2020
13484,Romain Amalfitano,France,Central Midfield,Dijon FCO,France,Al-Faisaly FC,Saudi Arabia,?,2020
13486,Timothée Kolodziejczak,France,Centre-Back,Tigres UANL,Mexico,AS Saint-Étienne,France,4500000.0,2020
13487,Yvan Neyou,Cameroon,Defensive Midfield,SC Braga B,Portugal,AS Saint-Étienne,France,1000000.0,2020
13488,Adil Aouchiche,France,Attacking Midfield,Paris Saint-Germain,France,AS Saint-Étienne,France,0.0,2020
13489,Jean-Philippe Krasso,Cote d'Ivoire,Centre-Forward,SAS Epinal,France,AS Saint-Étienne,France,0.0,2020
13490,Boubacar Fall,Senegal,Goalkeeper,Guédiawaye FC,Senegal,AS Saint-Étienne,France,0.0,2020
13491,Maxence Rivera,France,Right Winger,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,2020
13492,Etienne Green,England,Goalkeeper,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,2020
13493,Aimen Moueffek,France,Central Midfield,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,2020
13494,Saïdou Sow,Guinea,Centre-Back,AS Saint-Étienne U19,France,AS Saint-Étienne,France,0.0,2020
13495,Mickaël Nade,France,Centre-Back,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,2020
13496,Lamine Ghezali,France,Right Winger,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,2020
13497,Lucas Gourna-Douath,France,Defensive Midfield,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,2020
13498,Wesley Fofana,France,Centre-Back,AS Saint-Étienne,France,Leicester City,England,35000000.0,2020
13499,Franck Honorat,France,Right Winger,AS Saint-Étienne,France,Stade Brestois 29,France,5000000.0,2020
13500,Vagner,Cape Verde,Right Winger,AS Saint-Étienne,France,FC Metz,France,3000000.0,2020
13501,Makhtar Gueye,Senegal,Centre-Forward,AS Saint-Étienne,France,KV Oostende,Belgium,1000000.0,2020
13502,Alexis Guendouz,Algeria,Goalkeeper,AS Saint-Étienne,France,USM Alger,Algeria,100000.0,2020
13503,Théo Vermot,France,Goalkeeper,AS Saint-Étienne,France,US Orléans,France,0.0,2020
13504,Yann M'Vila,France,Defensive Midfield,AS Saint-Étienne,France,Olympiacos Piraeus,Greece,0.0,2020
13505,Loïs Diony,France,Centre-Forward,AS Saint-Étienne,France,Angers SCO,France,0.0,2020
13506,Oussama Tannane,Morocco,Attacking Midfield,AS Saint-Étienne,France,Vitesse Arnhem,Netherlands,0.0,2020
13511,Niclas Eliasson,Sweden,Right Midfield,Bristol City,England,Nîmes Olympique,France,3000000.0,2020
13512,Andrés Cubas,Paraguay,Defensive Midfield,Club Atlético Talleres,Argentina,Nîmes Olympique,France,2900000.0,2020
13513,Yassine Benrahou,Morocco,Attacking Midfield,FC Girondins Bordeaux,France,Nîmes Olympique,France,1500000.0,2020
13514,Patrick Burner,Martinique,Right-Back,OGC Nice,France,Nîmes Olympique,France,1500000.0,2020
13515,Birger Meling,Norway,Left-Back,Rosenborg BK,Norway,Nîmes Olympique,France,1000000.0,2020
13516,Karim Aribi,Algeria,Centre-Forward,Etoile Sportive du Sahel,Tunisia,Nîmes Olympique,France,1000000.0,2020
13517,Baptiste Reynet,France,Goalkeeper,FC Toulouse,France,Nîmes Olympique,France,350000.0,2020
13518,Amjhad Nazih,Morocco,Goalkeeper,Nîmes Olympique B,France,Nîmes Olympique,France,0.0,2020
13519,Marco Majouga,Central African Republic,Right Winger,Nîmes Olympique B,France,Nîmes Olympique,France,0.0,2020
13520,Mattéo Ahlinvi,Benin,Central Midfield,Nîmes Olympique B,France,Nîmes Olympique,France,0.0,2020
13521,Kévin Denkey,Togo,Centre-Forward,Nîmes Olympique,France,Cercle Brugge ,Belgium,2000000.0,2020
13522,Romain Philippoteaux,France,Right Midfield,Nîmes Olympique,France,Stade Brestois 29,France,500000.0,2020
13523,Théo Valls,France,Central Midfield,Nîmes Olympique,France,Servette FC,Switzerland,0.0,2020
13524,Adrian Grbic,Austria,Centre-Forward,Clermont Foot 63,France,FC Lorient,France,9000000.0,2020
13525,Terem Moffi,Nigeria,Centre-Forward,KV Kortrijk,Belgium,FC Lorient,France,8000000.0,2020
13526,Armand Laurienté,France,Left Winger,Stade Rennais FC,France,FC Lorient,France,3000000.0,2020
13527,Stéphane Diarra,Cote d'Ivoire,Right Winger,Le Mans FC,France,FC Lorient,France,2500000.0,2020
13528,Quentin Boisgard,France,Attacking Midfield,FC Toulouse,France,FC Lorient,France,2000000.0,2020
13529,Thomas Monconduit,France,Defensive Midfield,Amiens SC,France,FC Lorient,France,2000000.0,2020
13530,Matthieu Dreyer,France,Goalkeeper,Amiens SC,France,FC Lorient,France,0.0,2020
13531,Jérémy Morel,Madagascar,Centre-Back,Stade Rennais FC,France,FC Lorient,France,0.0,2020
13532,Thomas Callens,France,Goalkeeper,SM Caen,France,FC Lorient,France,0.0,2020
13533,Samuel Loric,France,Left-Back,FC Lorient B,France,FC Lorient,France,0.0,2020
13534,Teddy Bartouche,France,Goalkeeper,FC Lorient B,France,FC Lorient,France,0.0,2020
13535,Illan Meslier,France,Goalkeeper,FC Lorient,France,Leeds United,England,6500000.0,2020
13536,Mohamed Mara,Guinea,Left Winger,FC Lorient,France,Thonon Évian Grand Genève FC,France,0.0,2020
13537,Maxime Etuin,France,Left-Back,FC Lorient,France,Le Mans FC,France,0.0,2020
13538,Mamadou Kamissoko,France,Centre-Back,FC Lorient,France,Pau FC,France,0.0,2020
13539,Romain Cagnon,France,Goalkeeper,FC Lorient,France,US Créteil-Lusitanos,France,0.0,2020
13540,Joris Sainati,France,Centre-Back,FC Lorient,France,AC Ajaccio,France,0.0,2020
13541,Jimmy Cabot,France,Right Midfield,FC Lorient,France,Angers SCO,France,0.0,2020
13542,Moussa Guel,Cote d'Ivoire,Right Winger,FC Lorient,France,Valenciennes FC,France,?,2020
13543,Gaëtan Courtet,France,Centre-Forward,FC Lorient,France,AC Ajaccio,France,?,2020
13544,Peter Ouaneh,France,Centre-Back,FC Lorient,France,US Concarneau,France,?,2020
13547,Seko Fofana,Cote d'Ivoire,Central Midfield,Udinese Calcio,Italy,RC Lens,France,8500000.0,2020
13548,Ignatius Ganago,Cameroon,Centre-Forward,OGC Nice,France,RC Lens,France,6000000.0,2020
13549,Facundo Medina,Argentina,Centre-Back,Club Atlético Talleres,Argentina,RC Lens,France,3500000.0,2020
13550,Corentin Jean,France,Centre-Forward,FC Toulouse,France,RC Lens,France,1000000.0,2020
13551,Loïc Badé,France,Centre-Back,Le Havre AC,France,RC Lens,France,0.0,2020
13552,Jonathan Clauss,France,Right-Back,Arminia Bielefeld,Germany,RC Lens,France,0.0,2020
13553,David Pereira da Costa,Portugal,Attacking Midfield,RC Lens B,France,RC Lens,France,0.0,2020
13554,Tom Ducrocq,France,Defensive Midfield,RC Lens B,France,RC Lens,France,0.0,2020
13555,Cyrille Bayala,Burkina Faso,Right Winger,RC Lens,France,AC Ajaccio,France,0.0,2020
13556,Arial Mendy,Senegal,Left-Back,RC Lens,France,Servette FC,Switzerland,0.0,2020
13557,Guillaume Gillet,Belgium,Defensive Midfield,RC Lens,France,RSC Charleroi,Belgium,0.0,2020
13558,Didier Desprez,France,Goalkeeper,RC Lens,France,Paris FC,France,0.0,2020
13559,Manuel Perez,France,Defensive Midfield,RC Lens,France,Grenoble Foot 38,France,?,2020
13560,Aleksandar Radovanovic,Serbia,Centre-Back,RC Lens,France,KV Kortrijk,Belgium,?,2020
13562,Amadou Onana,Belgium,Defensive Midfield,Hamburger SV,Germany,LOSC Lille,France,12600000.0,2021
13563,Edon Zhegrova,Kosovo,Right Winger,FC Basel 1893,Switzerland,LOSC Lille,France,7000000.0,2021
13564,Gabriel Gudmundsson,Sweden,Left-Back,FC Groningen,Netherlands,LOSC Lille,France,6000000.0,2021
13565,Hatem Ben Arfa,France,Attacking Midfield,Without Club,N/A,LOSC Lille,France,0.0,2021
13566,Boubakary Soumaré,France,Defensive Midfield,LOSC Lille,France,Leicester City,England,20000000.0,2021
13567,Mike Maignan,France,Goalkeeper,LOSC Lille,France,AC Milan,Italy,15400000.0,2021
13568,Jonathan Ikoné,France,Right Winger,LOSC Lille,France,ACF Fiorentina,Italy,14200000.0,2021
13569,Luiz Araújo,Brazil,Right Winger,LOSC Lille,France,Atlanta United FC,United States,11500000.0,2021
13570,Thiago Maia,Brazil,Defensive Midfield,LOSC Lille,France,CR Flamengo,Brazil,4000000.0,2021
13571,Reinildo Mandava,Mozambique,Left-Back,LOSC Lille,France,Atlético de Madrid,Spain,3000000.0,2021
13572,Rominigue Kouamé,Mali,Central Midfield,LOSC Lille,France,ESTAC Troyes,France,2500000.0,2021
13573,Adama Soumaoro,France,Centre-Back,LOSC Lille,France,Bologna FC 1909,Italy,2100000.0,2021
13574,Jean Onana,Cameroon,Defensive Midfield,LOSC Lille,France,FC Girondins Bordeaux,France,2000000.0,2021
13575,Cheikh Niasse,Senegal,Defensive Midfield,LOSC Lille,France,BSC Young Boys,Switzerland,900000.0,2021
13576,Hervé Koffi,Burkina Faso,Goalkeeper,LOSC Lille,France,RSC Charleroi,Belgium,500000.0,2021
13577,Scotty Sadzoute,France,Left-Back,LOSC Lille,France,Oud-Heverlee Leuven,Belgium,400000.0,2021
13578,Eugenio Pizzuto,Mexico,Defensive Midfield,LOSC Lille,France,SC Braga B,Portugal,0.0,2021
13579,Achraf Hakimi,Morocco,Right-Back,Inter Milan,Italy,Paris Saint-Germain,France,68000000.0,2021
13580,Danilo Pereira,Portugal,Defensive Midfield,FC Porto,Portugal,Paris Saint-Germain,France,16000000.0,2021
13581,Lionel Messi,Argentina,Right Winger,FC Barcelona,Spain,Paris Saint-Germain,France,0.0,2021
13582,Georginio Wijnaldum,Netherlands,Central Midfield,Liverpool FC,England,Paris Saint-Germain,France,0.0,2021
13583,Sergio Ramos,Spain,Centre-Back,Real Madrid,Spain,Paris Saint-Germain,France,0.0,2021
